seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
3,medium,240,4,4,initial_food,250,180,66,333,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,83642208,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,346,1957,88,0,0,88,90,0.055,0,0,25.9,59.2,0.24,66,0,66,333,0,16.5,0,0,0,205,12,0,0,0,23,0,15,98,0,88,0,0,0,0,0,23,96249,0,21231,0,0,0
3,medium,240,4,4,relocated_food,960,600,231,1152,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,669705497,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,1,0,1,0,0,0,1480,1920,61,0,0,93,92,0.055,0,0,26,58.2,0.27,297,0,297,1485,0,37.125,0,0,0,217,0,0,0,0,23,0,50,83,0,61,0,0,0,0,0,23,34559,0,26727,0,0,0
4,medium,240,4,4,initial_food,250,180,195,952,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2338320587,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,968,1955,63,0,0,92,90,0.055,0,0,25.9,59.2,0.24,195,0,195,952,0,48.75,0,0,0,212,0,0,0,0,28,0,38,90,0,63,0,0,0,0,0,28,38135,0,25151,0,0,0
4,medium,240,4,4,relocated_food,960,600,211,1070,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2934296471,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,1,1,0,0,0,2027,1925,65,0,0,92,91,0.055,0,0,26,58.2,0.27,406,0,406,2022,0,50.75,0,0,0,212,0,0,0,0,28,0,48,87,0,65,0,0,0,0,0,28,49589,0,26230,0,0,0
5,medium,240,4,4,initial_food,250,180,157,804,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,229721326,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,822,1955,47,0,0,91,89,0.055,0,0,25.9,59.2,0.24,157,0,157,804,0,39.25,0,0,0,208,0,0,0,0,32,0,32,116,0,47,0,0,0,0,0,32,49584,0,24091,0,0,0
5,medium,240,4,4,relocated_food,960,600,243,1194,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3767931608,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,1,0,1,0,0,0,2005,1924,66,0,0,92,90,0.055,0,0,26,58.2,0.27,400,0,400,1998,0,50,0,0,0,208,0,0,0,0,32,0,46,81,0,66,0,0,0,0,0,32,49758,0,25067,0,0,0
6,medium,240,4,4,initial_food,250,180,74,394,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3864067742,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,0,0,0,0,0,0,405,1953,50,0,0,89,90,0.055,0,0,25.9,59.2,0.24,74,0,74,394,0,18.5,0,0,0,212,0,0,0,0,28,0,33,101,0,50,0,0,0,0,0,28,41734,0,27269,0,0,0
6,medium,240,4,4,relocated_food,960,600,206,1054,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1743490703,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,1,0,1,0,0,0,1439,1920,57,0,0,93,91,0.055,0,0,26,58.2,0.27,280,0,280,1448,0,35,0,0,0,212,0,0,0,0,28,0,54,83,0,57,0,0,0,0,0,28,44494,0,25548,0,0,0
7,medium,240,4,4,initial_food,250,180,109,532,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1040477372,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,0,0,0,0,0,0,543,1953,43,0,0,89,89,0.055,0,0,25.9,59.2,0.24,109,0,109,532,0,27.25,0,0,0,209,2,0,0,0,29,0,36,122,0,43,0,0,0,0,0,29,54383,0,24016,0,0,0
7,medium,240,4,4,relocated_food,960,600,299,1459,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3957176533,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,167,45,29,0,0,0,0,0,0,0,1986,1916,60,0,0,94,91,0.055,0,0,26,58.2,0.27,408,0,408,1991,0,51,0,0,0,212,0,0,0,0,29,0,63,68,0,60,0,0,0,0,0,29,27119,0,26061,0,0,0
