seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,diverse,240,2,2,0.5,initial_food,960,180,9,40,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,797100905,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,62,1973,24,0,0,86,89,0.0604,0.005,5,1.28,0,27,0.561,72,72,25.6,61.5,0.18,9,0,9,40,0,4.5,0,0,0,185,21,0,0,0,34,0,76,44,0,24,0,0,0,0,0,34,0,0,24027,0,30590,0,0,0
1,diverse,240,2,2,0.5,relocated_early,220,620,3,11,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1758441030,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,70,1969,30,0,0,86,89,0.0604,0,4,1.22,0,32,0.553,72,72,25.7,60.7,0.2,12,0,12,51,0,4.8,0,0,0,192,14,0,0,0,34,0,67,50,0,30,0,0,0,0,0,34,0,0,35283,0,30323,0,0,0
1,diverse,240,2,2,0.5,relocated_late,220,620,23,117,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1986995359,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,175,1954,23,0,0,87,90,0.0604,0.041,7,1.5,0,26,0.529,72,72,25.9,59.2,0.24,35,0,35,168,0,8.75,0,0,0,197,9,0,0,0,34,0,49,77,0,23,0,0,0,0,0,34,0,0,41918,0,26476,0,0,0
1,diverse,240,2,2,0.5,relocated_total,220,620,26,128,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1986995359,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,175,1954,23,0,0,87,90,0.0604,0.041,7,1.5,0,26,0.529,72,72,25.9,59.2,0.24,35,0,35,168,0,8.75,0,0,0,197,9,0,0,0,34,0,49,77,0,23,0,0,0,0,0,34,0,0,41918,0,26476,0,0,0
2,diverse,240,2,2,0.5,initial_food,960,180,4,18,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2499196515,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,45,1977,20,0,0,86,88,0.0604,0,3,1.22,0,21,0.551,72,72,25.6,61.5,0.18,4,0,4,18,0,2,0,0,0,92,112,0,0,0,36,0,90,29,0,20,0,0,0,0,0,36,0,0,19202,0,30986,0,0,0
2,diverse,240,2,2,0.5,relocated_early,220,620,2,11,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4078369398,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,54,1974,34,0,0,85,88,0.0604,0.001,6,1.29,0,34,0.569,72,72,25.7,60.7,0.2,6,0,6,29,0,2.4,0,0,0,188,16,0,0,0,36,0,56,56,0,34,0,0,0,0,0,36,0,0,34008,0,30151,0,0,0
2,diverse,240,2,2,0.5,relocated_late,220,620,18,92,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3349557074,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,133,1959,36,0,0,86,89,0.0604,0.042,8,1.49,0,42,0.551,72,72,25.9,59.2,0.24,24,0,24,121,0,6,0,0,0,191,13,0,0,0,36,0,36,69,0,36,0,0,0,0,0,36,0,0,53824,0,27202,0,0,0
2,diverse,240,2,2,0.5,relocated_total,220,620,20,103,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3349557074,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,133,1959,36,0,0,86,89,0.0604,0.042,8,1.49,0,42,0.551,72,72,25.9,59.2,0.24,24,0,24,121,0,6,0,0,0,191,13,0,0,0,36,0,36,69,0,36,0,0,0,0,0,36,0,0,53824,0,27202,0,0,0
3,diverse,240,2,2,0.5,initial_food,960,180,3,18,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3002553387,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,41,1974,37,0,0,86,89,0.0604,0.002,5,1.33,0,39,0.58,72,72,25.6,61.5,0.18,3,0,3,18,0,1.5,0,0,0,38,179,0,0,0,23,0,72,44,0,37,0,0,0,0,0,23,0,0,40198,0,31207,0,0,0
3,diverse,240,2,2,0.5,relocated_early,220,620,3,15,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1594708716,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,52,1968,44,0,0,86,89,0.0604,0.002,5,1.37,0,45,0.583,72,72,25.7,60.7,0.2,6,0,6,33,0,2.4,0,0,0,164,53,0,0,0,23,0,51,58,0,44,0,0,0,0,0,23,0,0,50358,0,30052,0,0,0
3,diverse,240,2,2,0.5,relocated_late,220,620,59,301,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1536030293,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,339,1952,13,0,0,89,91,0.0604,0.014,6,1.49,0,26,0.403,72,72,25.9,59.2,0.24,65,0,65,334,0,16.25,0,0,0,216,1,0,0,0,23,0,33,103,0,13,0,0,0,0,0,23,0,1,38271,0,26907,0,0,0
3,diverse,240,2,2,0.5,relocated_total,220,620,62,316,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1536030293,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,339,1952,13,0,0,89,91,0.0604,0.014,6,1.49,0,26,0.403,72,72,25.9,59.2,0.24,65,0,65,334,0,16.25,0,0,0,216,1,0,0,0,23,0,33,103,0,13,0,0,0,0,0,23,0,1,38271,0,26907,0,0,0
