seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_base_turn_noise,avg_exploration_drive,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
3,medium,240,2,2,0.5,relocated_late,220,620,18,89,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1204650191,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,140,1949,37,0,0,87,90,0.0591,0.055,0.066,0.115,9,1.51,1,38,0.527,0,6,25.9,59.2,0.24,26,0,26,133,0,6.5,0,0,0,200,11,0,0,0,29,0,128,46,0,37,0,0,0,0,0,29,0,0,47325,0,27591,0,0,0
3,medium,240,2,2,0.5,relocated_total,220,620,24,123,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1204650191,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,140,1949,37,0,0,87,90,0.0591,0.055,0.066,0.115,9,1.51,1,38,0.527,0,6,25.9,59.2,0.24,26,0,26,133,0,6.5,0,0,0,200,11,0,0,0,29,0,128,46,0,37,0,0,0,0,0,29,0,0,47325,0,27591,0,0,0
1,high,240,2,2,0.5,initial_food,960,180,1,3,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3819720616,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,16,1959,8,0,0,87,91,0.1042,0.105,0.008,0.01,4,1.24,0,8,0.48,0,240,25.6,61.5,0.18,1,0,1,3,0,0.5,0,0,0,0,204,0,0,0,36,0,0,0,0,8,0,0,0,0,0,36,0,0,7266,0,29625,0,0,0
1,high,240,2,2,0.5,relocated_early,220,620,1,7,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2954311846,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,21,1957,15,0,0,86,91,0.1044,0.105,0.01,0.002,3,1.21,0,15,0.48,0,240,25.7,60.7,0.2,2,0,2,10,0,0.8,0,0,0,0,204,0,0,0,36,0,0,0,0,15,0,0,0,0,0,36,0,0,13121,0,30756,0,0,0
1,high,240,2,2,0.5,relocated_late,220,620,15,76,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1087429595,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,91,1951,22,0,0,86,90,0.1038,0.105,0.007,0.004,3,1.17,0,23,0.474,0,240,25.9,59.2,0.24,17,0,17,86,0,4.25,0,0,0,188,16,0,0,0,36,0,0,0,0,22,0,0,0,0,0,36,0,0,35927,0,29952,0,0,0
1,high,240,2,2,0.5,relocated_total,220,620,16,83,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1087429595,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,91,1951,22,0,0,86,90,0.1038,0.105,0.007,0.004,3,1.17,0,23,0.474,0,240,25.9,59.2,0.24,17,0,17,86,0,4.25,0,0,0,188,16,0,0,0,36,0,0,0,0,22,0,0,0,0,0,36,0,0,35927,0,29952,0,0,0
2,high,240,2,2,0.5,initial_food,960,180,2,11,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,245638475,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,25,1962,13,0,0,87,91,0.1039,0.105,0.007,0.011,4,1.28,0,13,0.48,0,240,25.6,61.5,0.18,2,0,2,11,0,1,0,0,0,0,203,0,0,0,37,0,0,0,0,13,0,0,0,0,0,37,0,0,11607,0,29428,0,0,0
2,high,240,2,2,0.5,relocated_early,220,620,1,3,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1048175954,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,26,1960,22,0,0,87,91,0.105,0.105,0.017,0.005,3,1.22,0,22,0.48,0,240,25.7,60.7,0.2,3,0,3,14,0,1.2,0,0,0,0,203,0,0,0,37,0,0,0,0,22,0,0,0,0,0,37,0,0,19678,0,30257,0,0,0
2,high,240,2,2,0.5,relocated_late,220,620,24,116,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4155230525,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,136,1954,12,0,0,87,90,0.1038,0.105,0.005,0.003,4,1.15,0,12,0.48,0,240,25.9,59.2,0.24,27,0,27,130,0,6.75,0,0,0,198,5,0,0,0,37,0,0,0,0,12,0,0,0,0,0,37,0,0,26949,0,30386,0,0,0
2,high,240,2,2,0.5,relocated_total,220,620,25,119,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4155230525,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,136,1954,12,0,0,87,90,0.1038,0.105,0.005,0.003,4,1.15,0,12,0.48,0,240,25.9,59.2,0.24,27,0,27,130,0,6.75,0,0,0,198,5,0,0,0,37,0,0,0,0,12,0,0,0,0,0,37,0,0,26949,0,30386,0,0,0
3,high,240,2,2,0.5,initial_food,960,180,1,3,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,40045056,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,16,1957,12,0,0,88,91,0.1043,0.105,0.008,0.012,4,1.24,0,12,0.48,0,240,25.6,61.5,0.18,1,0,1,3,0,0.5,0,0,0,0,211,0,0,0,29,0,0,0,0,12,0,0,0,0,0,29,0,0,8246,0,29993,0,0,0
